,TCS,HDFCBANK,RELIANCE,SUNPHARMA,MARUTI
TCS,1.0,0.22796607459643628,0.29616953073664437,0.21687613478251888,0.19951167255526447
HDFCBANK,0.22796607459643628,1.0,0.3657575159645133,0.1882651746263007,0.28243641077446074
RELIANCE,0.29616953073664437,0.3657575159645133,1.0,0.23581461533437748,0.29918014566272094
SUNPHARMA,0.21687613478251888,0.1882651746263007,0.23581461533437748,1.0,0.18675319590122524
MARUTI,0.19951167255526447,0.28243641077446074,0.29918014566272094,0.18675319590122524,1.0
