Date,Actual,ARIMA_Forecast
2025-07-01,1651.0052490234375,1660.6625770070928
2025-07-02,1661.205078125,1660.3847770272807
2025-07-03,1663.3837890625,1659.545864405419
2025-07-04,1660.016845703125,1660.7171614329582
2025-07-07,1669.05810546875,1660.2117935532801
2025-07-08,1661.7059326171875,1659.6843431389964
2025-07-09,1658.6259765625,1660.7253931908078
2025-07-10,1651.7703857421875,1660.0752560699589
2025-07-11,1661.2091064453125,1659.8257486941063
2025-07-14,1671.74072265625,1660.69686022236
2025-07-15,1716.3509521484375,1659.9761398439512
2025-07-16,1690.02197265625,1659.9601852575959
2025-07-17,1692.406494140625,1660.6414623785922
2025-07-18,1682.669677734375,1659.9127574838976
2025-07-21,1681.378173828125,1660.080375169991
2025-07-22,1667.17041015625,1660.5686952335975
2025-07-23,1671.641357421875,1659.8814511147864
2025-07-24,1681.080078125,1660.181563324774
2025-07-25,1688.034912109375,1660.4871168294335
2025-07-28,1691.214111328125,1659.8772623186283
2025-07-29,1699.460693359375,1660.2612773279377
2025-07-30,1722.6103515625,1660.4039922933296
2025-07-31,1695.6851806640625,1659.8945408447191
2025-08-01,1619.18212890625,1660.3189906301627
2025-08-04,1631.0052490234375,1660.325100730296
2025-08-05,1621.566650390625,1659.9274656205912
2025-08-06,1584.90478515625,1660.3557318807589
2025-08-07,1588.0841064453125,1660.2546815791743
2025-08-08,1576.6583251953125,1659.9704631182753
2025-08-11,1598.0196533203125,1660.3736778240673
2025-08-12,1611.73046875,1660.1954934746975
2025-08-13,1629.217041015625,1660.0185181147485
2025-08-14,1630.806640625,1660.3757599827738
2025-08-18,1622.1627197265625,1660.1489571829766
2025-08-19,1616.10205078125,1660.0673800131747
2025-08-20,1622.5601806640625,1660.3653078625123
2025-08-21,1629.6142578125,1660.1153548861303
2025-08-22,1631.2041015625,1660.1136740362972
2025-08-25,1646.0078125,1660.3457440546165
2025-08-26,1589.971923828125,1660.0940604601783
2025-08-28,1575.466064453125,1660.1549307961195
2025-08-29,1584.2093505859375,1660.3203398572161
2025-09-01,1553.210693359375,1660.0837789010661
2025-09-02,1555.098388671875,1660.1895501367994
2025-09-03,1568.51123046875,1660.2920341900694
2025-09-04,1572.088134765625,1660.082777227415
2025-09-05,1583.3150634765625,1660.2167159770963
2025-09-08,1570.79638671875,1660.2633138289855
2025-09-09,1581.4273681640625,1660.0890936072535
2025-09-10,1583.116455078125,1660.2362784320353
2025-09-11,1599.3111572265625,1660.2361494030151
2025-09-12,1606.1666259765625,1660.1007157767908
2025-09-15,1591.660888671875,1660.2486180786723
2025-09-16,1600.1060791015625,1660.2119791613814
2025-09-17,1609.743408203125,1660.115723780823
2025-09-18,1637.9600830078125,1660.254505152133
2025-09-19,1645.3123779296875,1660.191731136383
2025-09-22,1633.389892578125,1660.1323954857576
2025-09-23,1620.67236328125,1660.254963996518
2025-09-24,1616.598876953125,1660.1758738630167
2025-09-25,1616.89697265625,1660.1492760915594
2025-09-26,1576.4595947265625,1660.2511504956533
2025-09-29,1579.04296875,1660.1644860963627
2025-09-30,1584.0106201171875,1660.1652149576266
2025-10-01,1625.64013671875,1660.244247671304
2025-10-03,1620.67236328125,1660.157336812549
2025-10-06,1644.020751953125,1660.1793744729985
2025-10-07,1642.4310302734375,1660.2353823138815
2025-10-08,1621.06982421875,1660.153968009768
2025-10-09,1647.7962646484375,1660.191216497799
2025-10-10,1660.1162109375,1660.225563507955
2025-10-13,1657.63232421875,1660.1537742774706
2025-10-14,1643.7227783203125,1660.2004721635303
2025-10-15,1644.418212890625,1660.2156422932649
2025-10-16,1648.29296875,1660.1560746312127
2025-10-17,1668.2633056640625,1660.2071006447206
2025-10-20,1677.7020263671875,1660.2062904842865
2025-10-21,1679.5897216796875,1660.1601736006098
2025-10-23,1678.99365234375,1660.211242010184
2025-10-24,1688.034912109375,1660.1979958491966
2025-10-27,1682.669677734375,1660.1654099194857
2025-10-28,1676.1123046875,1660.213168533682
2025-10-29,1704.8258056640625,1660.19107038974
2025-10-30,1692.406494140625,1660.1711923395558
2025-10-31,1679.788330078125,1660.2132379877644
2025-11-03,1695.3870849609375,1660.185668317812
2025-11-04,1679.093017578125,1660.1770230364382
2025-11-06,1675.0194091796875,1660.2118515448924
2025-11-07,1680.48388671875,1660.181810433546
2025-11-10,1686.8426513671875,1660.182509786582
2025-11-11,1705.0245361328125,1660.2094180350657
2025-11-12,1720.9212646484375,1660.1794119105625
2025-11-13,1726.18701171875,1660.1873685712549
2025-11-14,1745.7598876953125,1660.2063255109206
2025-11-17,1752.5159912109375,1660.1783109251967
2025-11-18,1747.448974609375,1660.191418528564
2025-11-19,1772.5855712890625,1660.202920385158
2025-11-20,1765.928955078125,1660.1782960712483
2025-11-21,1768.2139892578125,1660.1945712556937
2025-11-24,1769.3070068359375,1660.1994938516189
2025-11-25,1765.332763671875,1660.179131031024
2025-11-26,1793.25146484375,1660.1968163959561
2025-11-27,1798.6165771484375,1660.1962748875965
2025-11-28,1819.779052734375,1660.1805754871311
2025-12-01,1795.7353515625,1660.1982052657922
2025-12-02,1787.88623046875,1660.1934288576404
2025-12-03,1795.039794921875,1660.1824017274375
2025-12-04,1806.56494140625,1660.1988340217142
2025-12-05,1793.64892578125,1660.191060586467
2025-12-08,1784.6075439453125,1660.1844067971624
2025-12-09,1764.5379638671875,1660.198827569587
2025-12-10,1773.9765625,1660.1892207234525
2025-12-11,1795.5364990234375,1660.1864203754556
2025-12-12,1781.9249267578125,1660.1983251073639
2025-12-15,1785.501708984375,1660.187914262963
2025-12-16,1769.8037109375,1660.1883087949484
2025-12-17,1781.328857421875,1660.197467890783
2025-12-18,1734.6322021484375,1660.1871101917973
2025-12-19,1733.638671875,1660.1899757838119
2025-12-22,1758.3779296875,1660.1963895372219
2025-12-23,1744.567626953125,1660.1867513859752
2025-12-24,1725.7896728515625,1660.1913605977904
2025-12-26,1708.402587890625,1660.1952089479005
2025-12-29,1706.1173095703125,1660.1867640545538
2025-12-30,1709.0980224609375,1660.1924342347063
