Date,Actual,HW_Forecast
2025-07-01,12308.77734375,12271.785663230801
2025-07-02,12486.849609375,12276.344760326194
2025-07-03,12615.4580078125,12280.903857421585
2025-07-04,12510.5927734375,12285.462954516977
2025-07-07,12385.9423828125,12290.022051612368
2025-07-08,12281.0771484375,12294.58114870776
2025-07-09,12336.4775390625,12299.140245803152
2025-07-10,12514.5498046875,12303.699342898544
2025-07-11,12439.3642578125,12308.258439993935
2025-07-14,12380.0068359375,12312.817537089328
2025-07-15,12401.7705078125,12317.376634184719
2025-07-16,12429.470703125,12321.935731280111
2025-07-17,12342.4130859375,12326.494828375502
2025-07-18,12286.0234375,12331.053925470895
2025-07-21,12272.173828125,12335.613022566286
2025-07-22,12358.2421875,12340.172119661678
2025-07-23,12491.796875,12344.731216757069
2025-07-24,12422.5458984375,12349.290313852462
2025-07-25,12271.1845703125,12353.849410947852
2025-07-28,12207.869140625,12358.408508043243
2025-07-29,12335.48828125,12362.967605138636
2025-07-30,12482.892578125,12367.526702234027
2025-07-31,12473.0,12372.08579932942
2025-08-01,12302.0,12376.64489642481
2025-08-04,12365.0,12381.203993520203
2025-08-05,12537.0,12385.763090615594
2025-08-06,12524.0,12390.322187710986
2025-08-07,12632.0,12394.881284806377
2025-08-08,12590.0,12399.44038190177
2025-08-11,12597.0,12403.99947899716
2025-08-12,12840.0,12408.558576092553
2025-08-13,12834.0,12413.117673187944
2025-08-14,12936.0,12417.676770283337
2025-08-18,14068.0,12422.235867378728
2025-08-19,14250.0,12426.79496447412
2025-08-20,14221.0,12431.354061569511
2025-08-21,14280.0,12435.913158664904
2025-08-22,14349.0,12440.472255760295
2025-08-25,14452.0,12445.031352855685
2025-08-26,14714.0,12449.590449951078
2025-08-28,14752.0,12454.149547046469
2025-08-29,14791.0,12458.708644141861
2025-09-01,14887.0,12463.267741237252
2025-09-02,14842.0,12467.826838332645
2025-09-03,14927.0,12472.385935428036
2025-09-04,14662.0,12476.945032523428
2025-09-05,14895.0,12481.50412961882
2025-09-08,15258.0,12486.063226714212
2025-09-09,15365.0,12490.622323809603
2025-09-10,15108.0,12495.181420904995
2025-09-11,15095.0,12499.740518000386
2025-09-12,15325.0,12504.299615095779
2025-09-15,15265.0,12508.85871219117
2025-09-16,15573.0,12513.417809286562
2025-09-17,15801.0,12517.976906381953
2025-09-18,15817.0,12522.536003477346
2025-09-19,15864.0,12527.095100572737
2025-09-22,15816.0,12531.654197668127
2025-09-23,16097.0,12536.21329476352
2025-09-24,16249.0,12540.77239185891
2025-09-25,16269.0,12545.331488954303
2025-09-26,16286.0,12549.890586049694
2025-09-29,15984.0,12554.449683145087
2025-09-30,16029.0,12559.008780240478
2025-10-01,15965.0,12563.56787733587
2025-10-03,15806.0,12568.126974431261
2025-10-06,15998.0,12572.686071526654
2025-10-07,16108.0,12577.245168622045
2025-10-08,16012.0,12581.804265717437
2025-10-09,15985.0,12586.363362812828
2025-10-10,16265.0,12590.92245990822
2025-10-13,16323.0,12595.481557003612
2025-10-14,16261.0,12600.040654099004
2025-10-15,16212.0,12604.599751194395
2025-10-16,16298.0,12609.158848289788
2025-10-17,16401.0,12613.717945385179
2025-10-20,16424.0,12618.27704248057
2025-10-21,16396.0,12622.836139575962
2025-10-23,16393.0,12627.395236671353
2025-10-24,16274.0,12631.954333766746
2025-10-27,16388.0,12636.513430862136
2025-10-28,16311.0,12641.072527957529
2025-10-29,16138.0,12645.63162505292
2025-10-30,16206.0,12650.190722148312
2025-10-31,16186.0,12654.749819243703
2025-11-03,15651.0,12659.308916339096
2025-11-04,15374.0,12663.868013434487
2025-11-06,15452.0,12668.42711052988
2025-11-07,15479.0,12672.98620762527
2025-11-10,15583.0,12677.545304720663
2025-11-11,15645.0,12682.104401816054
2025-11-12,15696.0,12686.663498911446
2025-11-13,15749.0,12691.222596006837
2025-11-14,15684.0,12695.78169310223
2025-11-17,15878.0,12700.34079019762
2025-11-18,15930.0,12704.899887293011
2025-11-19,15768.0,12709.458984388404
2025-11-20,15801.0,12714.018081483795
2025-11-21,15977.0,12718.577178579188
2025-11-24,15958.0,12723.136275674578
2025-11-25,15889.0,12727.695372769971
2025-11-26,16156.0,12732.254469865362
2025-11-27,15903.0,12736.813566960755
2025-11-28,15900.0,12741.372664056145
2025-12-01,16097.0,12745.931761151538
2025-12-02,16239.0,12750.490858246929
2025-12-03,16082.0,12755.049955342321
2025-12-04,15994.0,12759.609052437712
2025-12-05,16282.0,12764.168149533105
2025-12-08,16187.0,12768.727246628496
2025-12-09,16020.0,12773.286343723888
2025-12-10,16019.0,12777.84544081928
2025-12-11,16248.0,12782.40453791467
2025-12-12,16522.0,12786.963635010063
2025-12-15,16415.0,12791.522732105454
2025-12-16,16354.0,12796.081829200846
2025-12-17,16398.0,12800.640926296237
2025-12-18,16329.0,12805.20002339163
2025-12-19,16414.0,12809.75912048702
2025-12-22,16649.0,12814.318217582413
2025-12-23,16585.0,12818.877314677804
2025-12-24,16703.0,12823.436411773197
2025-12-26,16596.0,12827.995508868587
2025-12-29,16542.0,12832.55460596398
2025-12-30,16647.0,12837.11370305937
