Date,Actual,HW_Forecast
2025-07-01,1522.320068359375,1495.1657274336262
2025-07-02,1512.75830078125,1495.700839405244
2025-07-03,1511.76220703125,1496.2359513768622
2025-07-04,1521.2244873046875,1496.77106334848
2025-07-07,1535.367919921875,1497.3061753200982
2025-07-08,1531.4833984375,1497.841287291716
2025-07-09,1512.9573974609375,1498.3763992633342
2025-07-10,1511.16455078125,1498.911511234952
2025-07-11,1489.2520751953125,1499.4466232065702
2025-07-14,1477.7977294921875,1499.981735178188
2025-07-15,1479.4910888671875,1500.5168471498062
2025-07-16,1479.690185546875,1501.051959121424
2025-07-17,1470.52685546875,1501.5870710930421
2025-07-18,1470.12841796875,1502.12218306466
2025-07-21,1422.9169921875,1502.6572950362781
2025-07-22,1407.179931640625,1503.192407007896
2025-07-23,1418.932861328125,1503.7275189795141
2025-07-24,1397.3192138671875,1504.262630951132
2025-07-25,1386.1636962890625,1504.79774292275
2025-07-28,1382.080078125,1505.332854894368
2025-07-29,1411.4627685546875,1505.867966865986
2025-07-30,1404.4906005859375,1506.403078837604
2025-07-31,1384.669677734375,1506.938190809222
2025-08-01,1388.15576171875,1507.47330278084
2025-08-04,1405.885009765625,1508.008414752458
2025-08-05,1386.1636962890625,1508.543526724076
2025-08-06,1387.259521484375,1509.078638695694
2025-08-07,1383.8729248046875,1509.613750667312
2025-08-08,1362.35888671875,1510.14886263893
2025-08-11,1380.6856689453125,1510.683974610548
2025-08-12,1374.9088134765625,1511.219086582166
2025-08-13,1377.0999755859375,1511.754198553784
2025-08-14,1373.800048828125,1512.289310525402
2025-08-18,1381.699951171875,1512.82442249702
2025-08-19,1420.0999755859375,1513.359534468638
2025-08-20,1413.0,1513.8946464402559
2025-08-21,1424.800048828125,1514.429758411874
2025-08-22,1409.199951171875,1514.9648703834919
2025-08-25,1412.5999755859375,1515.49998235511
2025-08-26,1384.9000244140625,1516.0350943267279
2025-08-28,1385.9000244140625,1516.570206298346
2025-08-29,1357.199951171875,1517.1053182699638
2025-09-01,1353.9000244140625,1517.640430241582
2025-09-02,1366.5,1518.1755422131998
2025-09-03,1372.5999755859375,1518.710654184818
2025-09-04,1359.300048828125,1519.2457661564358
2025-09-05,1375.0,1519.780878128054
2025-09-08,1378.5,1520.3159900996718
2025-09-09,1376.199951171875,1520.85110207129
2025-09-10,1377.0,1521.3862140429078
2025-09-11,1383.300048828125,1521.921326014526
2025-09-12,1395.0,1522.4564379861438
2025-09-15,1399.300048828125,1522.991549957762
2025-09-16,1405.300048828125,1523.5266619293798
2025-09-17,1413.800048828125,1524.0617739009979
2025-09-18,1415.0,1524.596885872616
2025-09-19,1407.4000244140625,1525.1319978442339
