Date,Actual,HW_Forecast
2025-07-01,1651.0052490234375,1661.2346740468527
2025-07-02,1661.205078125,1662.224171873982
2025-07-03,1663.3837890625,1663.2136697011113
2025-07-04,1660.016845703125,1664.2031675282406
2025-07-07,1669.05810546875,1665.1926653553696
2025-07-08,1661.7059326171875,1666.182163182499
2025-07-09,1658.6259765625,1667.1716610096282
2025-07-10,1651.7703857421875,1668.1611588367575
2025-07-11,1661.2091064453125,1669.1506566638868
2025-07-14,1671.74072265625,1670.1401544910161
2025-07-15,1716.3509521484375,1671.1296523181454
2025-07-16,1690.02197265625,1672.1191501452747
2025-07-17,1692.406494140625,1673.108647972404
2025-07-18,1682.669677734375,1674.098145799533
2025-07-21,1681.378173828125,1675.0876436266624
2025-07-22,1667.17041015625,1676.0771414537917
2025-07-23,1671.641357421875,1677.066639280921
2025-07-24,1681.080078125,1678.0561371080503
2025-07-25,1688.034912109375,1679.0456349351796
2025-07-28,1691.214111328125,1680.0351327623089
2025-07-29,1699.460693359375,1681.0246305894382
2025-07-30,1722.6103515625,1682.0141284165675
2025-07-31,1695.6851806640625,1683.0036262436968
2025-08-01,1619.18212890625,1683.9931240708258
2025-08-04,1631.0052490234375,1684.9826218979551
2025-08-05,1621.566650390625,1685.9721197250844
2025-08-06,1584.90478515625,1686.9616175522137
2025-08-07,1588.0841064453125,1687.951115379343
2025-08-08,1576.6583251953125,1688.9406132064723
2025-08-11,1598.0196533203125,1689.9301110336016
2025-08-12,1611.73046875,1690.919608860731
2025-08-13,1629.217041015625,1691.9091066878602
2025-08-14,1630.806640625,1692.8986045149893
2025-08-18,1622.1627197265625,1693.8881023421186
2025-08-19,1616.10205078125,1694.877600169248
2025-08-20,1622.5601806640625,1695.8670979963772
2025-08-21,1629.6142578125,1696.8565958235065
2025-08-22,1631.2041015625,1697.8460936506358
2025-08-25,1646.0078125,1698.835591477765
2025-08-26,1589.971923828125,1699.8250893048944
2025-08-28,1575.466064453125,1700.8145871320237
2025-08-29,1584.2093505859375,1701.8040849591528
2025-09-01,1553.210693359375,1702.793582786282
2025-09-02,1555.098388671875,1703.7830806134114
2025-09-03,1568.51123046875,1704.7725784405407
2025-09-04,1572.088134765625,1705.76207626767
2025-09-05,1583.3150634765625,1706.7515740947993
2025-09-08,1570.79638671875,1707.7410719219286
2025-09-09,1581.4273681640625,1708.7305697490578
2025-09-10,1583.116455078125,1709.7200675761871
2025-09-11,1599.3111572265625,1710.7095654033164
2025-09-12,1606.1666259765625,1711.6990632304455
2025-09-15,1591.660888671875,1712.6885610575748
2025-09-16,1600.1060791015625,1713.6780588847041
2025-09-17,1609.743408203125,1714.6675567118334
2025-09-18,1637.9600830078125,1715.6570545389627
2025-09-19,1645.3123779296875,1716.646552366092
2025-09-22,1633.389892578125,1717.6360501932213
2025-09-23,1620.67236328125,1718.6255480203506
2025-09-24,1616.598876953125,1719.61504584748
2025-09-25,1616.89697265625,1720.604543674609
2025-09-26,1576.4595947265625,1721.5940415017383
2025-09-29,1579.04296875,1722.5835393288676
2025-09-30,1584.0106201171875,1723.5730371559969
2025-10-01,1625.64013671875,1724.5625349831262
2025-10-03,1620.67236328125,1725.5520328102555
2025-10-06,1644.020751953125,1726.5415306373848
2025-10-07,1642.4310302734375,1727.531028464514
2025-10-08,1621.06982421875,1728.5205262916434
2025-10-09,1647.7962646484375,1729.5100241187724
2025-10-10,1660.1162109375,1730.4995219459017
2025-10-13,1657.63232421875,1731.489019773031
2025-10-14,1643.7227783203125,1732.4785176001603
2025-10-15,1644.418212890625,1733.4680154272896
2025-10-16,1648.29296875,1734.457513254419
2025-10-17,1668.2633056640625,1735.4470110815482
2025-10-20,1677.7020263671875,1736.4365089086775
2025-10-21,1679.5897216796875,1737.4260067358068
2025-10-23,1678.99365234375,1738.415504562936
2025-10-24,1688.034912109375,1739.4050023900652
2025-10-27,1682.669677734375,1740.3945002171945
2025-10-28,1676.1123046875,1741.3839980443238
2025-10-29,1704.8258056640625,1742.373495871453
2025-10-30,1692.406494140625,1743.3629936985824
2025-10-31,1679.788330078125,1744.3524915257117
2025-11-03,1695.3870849609375,1745.341989352841
2025-11-04,1679.093017578125,1746.3314871799703
2025-11-06,1675.0194091796875,1747.3209850070994
2025-11-07,1680.48388671875,1748.3104828342287
2025-11-10,1686.8426513671875,1749.299980661358
2025-11-11,1705.0245361328125,1750.2894784884872
2025-11-12,1720.9212646484375,1751.2789763156165
2025-11-13,1726.18701171875,1752.2684741427458
2025-11-14,1745.7598876953125,1753.2579719698751
2025-11-17,1752.5159912109375,1754.2474697970044
2025-11-18,1747.448974609375,1755.2369676241337
2025-11-19,1772.5855712890625,1756.226465451263
2025-11-20,1765.928955078125,1757.215963278392
2025-11-21,1768.2139892578125,1758.2054611055214
2025-11-24,1769.3070068359375,1759.1949589326507
2025-11-25,1765.332763671875,1760.18445675978
2025-11-26,1793.25146484375,1761.1739545869093
2025-11-27,1798.6165771484375,1762.1634524140386
2025-11-28,1819.779052734375,1763.152950241168
2025-12-01,1795.7353515625,1764.1424480682972
2025-12-02,1787.88623046875,1765.1319458954265
2025-12-03,1795.039794921875,1766.1214437225556
2025-12-04,1806.56494140625,1767.1109415496849
2025-12-05,1793.64892578125,1768.1004393768142
2025-12-08,1784.6075439453125,1769.0899372039435
2025-12-09,1764.5379638671875,1770.0794350310728
2025-12-10,1773.9765625,1771.068932858202
2025-12-11,1795.5364990234375,1772.0584306853314
2025-12-12,1781.9249267578125,1773.0479285124607
2025-12-15,1785.501708984375,1774.03742633959
2025-12-16,1769.8037109375,1775.0269241667193
2025-12-17,1781.328857421875,1776.0164219938483
2025-12-18,1734.6322021484375,1777.0059198209776
2025-12-19,1733.638671875,1777.995417648107
2025-12-22,1758.3779296875,1778.9849154752362
2025-12-23,1744.567626953125,1779.9744133023655
2025-12-24,1725.7896728515625,1780.9639111294948
2025-12-26,1708.402587890625,1781.9534089566241
2025-12-29,1706.1173095703125,1782.9429067837534
2025-12-30,1709.0980224609375,1783.9324046108827
