Date,Actual,HW_Forecast
2025-07-01,1003.5526123046875,998.5573982082706
2025-07-02,990.5350341796875,998.8489882071376
2025-07-03,991.0836181640625,999.1405782060048
2025-07-04,992.1809692382812,999.4321682048718
2025-07-07,991.2332763671875,999.723758203739
2025-07-08,998.2159423828125,1000.015348202606
2025-07-09,1003.1036987304688,1000.3069382014731
2025-07-10,1000.6099243164062,1000.5985282003402
2025-07-11,989.3878784179688,1000.8901181992073
2025-07-14,989.0387573242188,1001.1817081980744
2025-07-15,995.2732543945312,1001.4732981969415
2025-07-16,995.6722412109375,1001.7648881958086
2025-07-17,990.98388671875,1002.0564781946757
2025-07-18,976.2705078125,1002.3480681935428
2025-07-21,997.7670288085938,1002.6396581924099
2025-07-22,1001.058837890625,1002.931248191277
2025-07-23,1009.6375122070312,1003.2228381901441
2025-07-24,1004.5999755859375,1003.5144281890111
2025-07-25,1002.2999877929688,1003.8060181878783
2025-07-28,1004.25,1004.0976081867453
2025-07-29,1010.7999877929688,1004.3891981856125
2025-07-30,1012.9000244140625,1004.6807881844795
2025-07-31,1009.0999755859375,1004.9723781833467
2025-08-01,1006.0999755859375,1005.2639681822137
2025-08-04,996.0,1005.5555581810809
2025-08-05,988.7999877929688,1005.847148179948
2025-08-06,992.6500244140625,1006.1387381788151
2025-08-07,997.7000122070312,1006.4303281776822
2025-08-08,986.9500122070312,1006.7219181765493
2025-08-11,997.7999877929688,1007.0135081754164
2025-08-12,984.9500122070312,1007.3050981742834
2025-08-13,990.1500244140625,1007.5966881731506
2025-08-14,995.5499877929688,1007.8882781720176
2025-08-18,1001.7999877929688,1008.1798681708848
2025-08-19,995.5499877929688,1008.4714581697518
2025-08-20,994.0999755859375,1008.763048168619
2025-08-21,995.5999755859375,1009.054638167486
2025-08-22,982.2999877929688,1009.3462281663532
2025-08-25,982.0499877929688,1009.6378181652202
2025-08-26,973.4000244140625,1009.9294081640874
2025-08-28,957.7999877929688,1010.2209981629544
2025-08-29,951.5999755859375,1010.5125881618216
2025-09-01,950.5999755859375,1010.8041781606886
2025-09-02,944.5,1011.0957681595557
2025-09-03,954.4500122070312,1011.3873581584228
2025-09-04,961.25,1011.6789481572899
2025-09-05,963.4000244140625,1011.970538156157
2025-09-08,966.0,1012.2621281550241
2025-09-09,965.1500244140625,1012.5537181538912
