Date,Actual,HW_Forecast
2025-07-01,3344.59765625,3376.8081879484866
2025-07-02,3338.356689453125,3377.5201847838125
2025-07-03,3316.4150390625,3378.232181619138
2025-07-04,3334.94384765625,3378.944178454464
2025-07-07,3327.04443359375,3379.656175289789
2025-07-08,3321.68115234375,3380.3681721251146
2025-07-09,3299.837158203125,3381.0801689604405
2025-07-10,3298.08154296875,3381.792165795766
2025-07-11,3184.9599609375,3382.5041626310913
2025-07-14,3142.734130859375,3383.216159466417
2025-07-15,3171.599853515625,3383.9281563017425
2025-07-16,3163.576171875,3384.6401531370684
2025-07-17,3140.18994140625,3385.352149972394
2025-07-18,3121.304931640625,3386.064146807719
2025-07-21,3090.28662109375,3386.776143643045
2025-07-22,3091.65673828125,3387.4881404783705
2025-07-23,3110.7373046875,3388.200137313696
2025-07-24,3080.30615234375,3388.9121341490218
2025-07-25,3068.368408203125,3389.624130984347
2025-07-28,3013.083251953125,3390.336127819673
2025-07-29,2990.284423828125,3391.0481246549984
2025-07-30,2987.93603515625,3391.760121490324
2025-07-31,2971.497314453125,3392.4721183256497
2025-08-01,2938.424072265625,3393.184115160975
2025-08-04,3008.28857421875,3393.8961119963005
2025-08-05,2998.014404296875,3394.6081088316264
2025-08-06,2967.093994140625,3395.320105666952
2025-08-07,2981.47802734375,3396.0321025022777
2025-08-08,2971.105712890625,3396.744099337603
2025-08-11,2975.411376953125,3397.4560961729285
2025-08-12,2970.127197265625,3398.1680930082543
2025-08-13,2970.91015625,3398.8800898435798
2025-08-14,2957.30908203125,3399.592086678905
2025-08-18,2946.44775390625,3400.304083514231
2025-08-19,2951.34033203125,3401.0160803495564
2025-08-20,3031.96826171875,3401.7280771848823
2025-08-21,3035.882568359375,3402.4400740202077
2025-08-22,2988.327392578125,3403.152070855533
2025-08-25,3073.065185546875,3403.864067690859
2025-08-26,3089.308349609375,3404.5760645261844
2025-08-28,3027.173583984375,3405.28806136151
2025-08-29,3018.3671875,3406.0000581968357
2025-09-01,3045.667236328125,3406.712055032161
2025-09-02,3044.5908203125,3407.424051867487
2025-09-03,3030.891845703125,3408.1360487028123
2025-09-04,3029.130859375,3408.8480455381377
2025-09-05,2982.75,3409.5600423734636
2025-09-08,2954.080078125,3410.272039208789
2025-09-09,2983.826171875,3410.9840360441144
2025-09-10,3043.123291015625,3411.6960328794403
2025-09-11,3057.017822265625,3412.4080297147657
2025-09-12,3066.02001953125,3413.1200265500916
2025-09-15,3044.982177734375,3413.832023385417
2025-09-16,3078.0556640625,3414.5440202207424
2025-09-17,3104.57275390625,3415.2560170560682
2025-09-18,3108.388916015625,3415.9680138913936
2025-09-19,3101.050048828125,3416.680010726719
2025-09-22,3007.70166015625,3417.392007562045
2025-09-23,2996.546630859375,3418.1040043973703
2025-09-24,2970.127197265625,3418.816001232696
2025-09-25,2893.804443359375,3419.5279980680216
2025-09-26,2836.758544921875,3420.239994903347
2025-09-29,2833.82275390625,3420.951991738673
2025-09-30,2826.288330078125,3421.6639885739983
2025-10-01,2851.53369140625,3422.3759854093237
