Date,Actual,ARIMA_Forecast
2025-07-01,1003.5526123046875,996.4119131472307
2025-07-02,990.5350341796875,997.5451023053415
2025-07-03,991.0836181640625,997.8842090185562
2025-07-04,992.1809692382812,996.4073604230227
2025-07-07,991.2332763671875,997.9075169303454
2025-07-08,998.2159423828125,997.4425210664411
2025-07-09,1003.1036987304688,996.6119756164826
2025-07-10,1000.6099243164062,998.0687398670191
2025-07-11,989.3878784179688,997.0528144663532
2025-07-14,989.0387573242188,996.9407520693676
2025-07-15,995.2732543945312,998.0285795729179
2025-07-16,995.6722412109375,996.7948100162067
2025-07-17,990.98388671875,997.2957738131504
2025-07-18,976.2705078125,997.8329773743303
2025-07-21,997.7670288085938,996.7035336078687
2025-07-22,1001.058837890625,997.5909848523471
2025-07-23,1009.6375122070312,997.5550728835253
2025-07-24,1004.5999755859375,996.7694544940034
2025-07-25,1002.2999877929688,997.7697237292773
2025-07-28,1004.25,997.2734987328543
2025-07-29,1010.7999877929688,996.9487976251502
2025-07-30,1012.9000244140625,997.8123297858433
2025-07-31,1009.0999755859375,997.0533786943752
2025-08-01,1006.0999755859375,997.1798129342236
2025-08-04,996.0,997.733891715106
2025-08-05,988.7999877929688,996.9338855242545
2025-08-06,992.6500244140625,997.4001904019038
2025-08-07,997.7000122070312,997.5744526069128
2025-08-08,986.9500122070312,996.9240096039114
2025-08-11,997.7999877929688,997.5614254005999
2025-08-12,984.9500122070312,997.3852901532478
2025-08-13,990.1500244140625,997.0060086583928
2025-08-14,995.5499877929688,997.6374025100407
2025-08-18,1001.7999877929688,997.2151287666645
2025-08-19,995.5499877929688,997.1443472476338
2025-08-20,994.0999755859375,997.6262879262121
2025-08-21,995.5999755859375,997.0994521710169
2025-08-22,982.2999877929688,997.2970779507891
2025-08-25,982.0499877929688,997.546518325788
2025-08-26,973.4000244140625,997.0547971075268
2025-08-28,957.7999877929688,997.426613457654
2025-08-29,951.5999755859375,997.4288816385432
2025-09-01,950.5999755859375,997.0784254104973
2025-09-02,944.5,997.5075349133683
2025-09-03,954.4500122070312,997.3072156377998
2025-09-04,961.25,997.1524680726925
2025-09-05,963.4000244140625,997.5301899600905
2025-09-08,966.0,997.2101057216724
2025-09-09,965.1500244140625,997.2507766492866
2025-09-10,965.9000244140625,997.5000251561322
2025-09-11,967.7999877929688,997.1552999841916
2025-09-12,967.2999877929688,997.3464196353043
2025-09-15,967.0499877929688,997.4335839761644
2025-09-16,966.8499755859375,997.1476241518459
2025-09-17,966.5,997.4179901529156
2025-09-18,976.9000244140625,997.3526949401561
2025-09-19,966.9000244140625,997.1802350151399
2025-09-22,964.2000122070312,997.4534979903868
