Date,Log_Returns,Rolling_Volatility
2021-01-01,,
2021-01-04,0.0014291864874433284,
2021-01-05,-0.0061012430393180056,
2021-01-06,-0.003513447823219854,
2021-01-07,-0.008233196372123946,
2021-01-08,0.05763112047694016,
2021-01-11,0.02681782599798927,
2021-01-12,-0.005444343496240112,
2021-01-13,-0.0059039699896945436,
2021-01-14,0.0011787097534375719,
2021-01-15,-0.015419975800021836,
2021-01-18,-0.024484925417194537,
2021-01-19,0.011673858888781011,
2021-01-20,0.027678702937019788,
2021-01-21,-0.008408511293044011,
2021-01-22,-0.003460379962001852,
2021-01-25,-0.008402860633758884,
2021-01-27,-0.013953977117749256,
2021-01-28,-0.036538443085747774,
2021-01-29,-0.05162974068097132,
2021-02-01,0.02644873796942011,
2021-02-02,0.03386691864672821,
2021-02-03,-0.008593676438682809,
2021-02-04,0.00667139751357775,
2021-02-05,-0.019274880097632476,
2021-02-08,0.010677846926901591,
2021-02-09,0.0069005888990411575,
2021-02-10,-0.0007016694721865373,
2021-02-11,0.005971579038564576,
2021-02-12,-0.012976174873770506,
2021-02-15,0.003712457914877276,0.02119321058450037
2021-02-16,0.013129831737505208,0.021335463714852027
2021-02-17,-0.025507516822934874,0.021814919771810663
2021-02-18,-0.0007532770282710265,0.02180833170078735
2021-02-19,-0.02355630402194604,0.022170252491104016
2021-02-22,-0.03283554475943497,0.0199492289775347
2021-02-23,-0.0164975527809731,0.01918699906370882
2021-02-24,-0.0025209611263900785,0.019194964372478376
2021-02-25,-0.003255558884735353,0.01919889585143874
2021-02-26,-0.00930692835542875,0.019171140459313507
2021-03-01,0.021447190717823236,0.019701640616150713
2021-03-02,0.02798676696055273,0.020187809279994383
2021-03-03,-0.0124698590644719,0.020074577134156137
2021-03-04,0.0009679306827432515,0.019216272243688638
2021-03-05,0.016327975243758303,0.019567121656762217
2021-03-08,0.0014474104874497226,0.01958886953419566
2021-03-09,0.005775690117871741,0.01963600289866133
2021-03-10,-0.004041418288579539,0.019527867579699803
2021-03-12,-0.02448570038674973,0.018920906280023103
2021-03-15,-0.0009729052250258786,0.016461363318947864
2021-03-16,0.008567658628230968,0.01575891459655313
2021-03-17,-0.012050716525585512,0.014413756129606268
2021-03-18,0.0069259532815752044,0.01447235021613288
2021-03-19,-2.8073705510390208e-05,0.014382844516020296
2021-03-22,-0.0017306320379388285,0.014024412789084582
2021-03-23,0.011898665208210915,0.01406356934682592
2021-03-24,-0.01684656808989229,0.01422698268915492
2021-03-25,-0.04033603726385909,0.015802805586660394
2021-03-26,-0.000353619031661992,0.015708928679407652
2021-03-30,0.009878088611812786,0.01581632041909286
2021-03-31,0.0010795506114336536,0.015783244830218077
2021-04-01,0.00938827709551076,0.01566241130288748
2021-04-05,-0.022692276542747896,0.015534091804754735
2021-04-06,-0.0025519039563259805,0.015526854921971929
2021-04-07,0.016700999087273495,0.015472769398754213
2021-04-08,-0.0055726067888979755,0.01436984394273244
2021-04-09,3.664032680291025e-05,0.01407876590047354
2021-04-12,-0.04593360132864312,0.01632503393815519
2021-04-13,0.04427695318569315,0.018389157006112045
2021-04-15,-0.025491542924855167,0.018885459514764513
2021-04-16,0.0005794269860107834,0.018404733613844797
2021-04-19,-0.020723035964653403,0.017826699231227858
2021-04-20,0.020504688366136427,0.018260392787322645
2021-04-22,0.0005189286462374736,0.018257792907453482
2021-04-23,0.0039021775248721724,0.017958412951998202
2021-04-26,-0.005587762693219286,0.01794771917399357
2021-04-27,-0.01062264981897278,0.017921592773558544
2021-04-28,0.0007683764226851679,0.0179383240065263
2021-04-29,-0.0012405023821845612,0.017491026081555755
2021-04-30,-0.016895730709526484,0.017680812691827037
2021-05-03,0.021788153211140818,0.018140960398938984
2021-05-04,-0.013673384913974063,0.01817225449917869
2021-05-05,0.012498017155646721,0.018302405853550356
2021-05-06,0.011549000707131052,0.018478587530331155
2021-05-07,0.005445173315535809,0.018530744031692147
2021-05-10,0.009051741768453886,0.01846469014487929
2021-05-11,-0.004051603415662973,0.018256981259106755
2021-05-12,0.011937323832414292,0.01687383457588122
2021-05-14,-0.011974531747449536,0.017018571928581035
2021-05-17,-0.002757537961608459,0.01691565287910375
2021-05-18,0.01378557747219125,0.017118511068842542
2021-05-19,-0.005181480749864835,0.01704259968241154
2021-05-20,-0.005631346765486207,0.016562006506307694
2021-05-21,0.011333882897573287,0.016686178055010353
2021-05-24,0.008322340453813453,0.01647112676281469
2021-05-25,0.005833061295204254,0.016468932140926797
2021-05-26,0.017567952994771145,0.016763547366719915
2021-05-27,-0.00934069037239819,0.014394994343141511
2021-05-28,0.00015781937083147513,0.012005058336077281
2021-05-31,0.016548118924189746,0.011267792682353322
2021-06-01,0.0006841873016831823,0.0112673063291795
2021-06-02,0.013106346756927229,0.010570445255272105
2021-06-03,0.0034457341412649205,0.010058228017397686
2021-06-04,0.0007211533425211286,0.010056776936632867
2021-06-07,0.008412364490897767,0.010108693627393417
2021-06-08,0.008362879553755836,0.010026911004950333
2021-06-09,-0.013412850409425461,0.010172691187367057
2021-06-10,-0.005416035363956706,0.01028650301100605
2021-06-11,0.003314004514457489,0.010254824575666005
2021-06-14,-0.006381209960643409,0.009710085606049525
2021-06-15,-0.0016173607548956967,0.009114949105255286
2021-06-16,-0.007282777492379444,0.008786540004651278
2021-06-17,-0.02057782554836892,0.009588047889755279
2021-06-18,-0.0014358256260801228,0.009427559656994362
2021-06-21,-0.008579216385137261,0.009568371669686545
2021-06-22,0.05161645200654695,0.013254611693664431
2021-06-23,0.022765906794631054,0.013702390353953778
2021-06-24,0.012667091808489088,0.013718931804062362
2021-06-25,0.0160186404748163,0.013595499582650836
2021-06-28,-0.006920219443082921,0.013690238425434337
2021-06-29,-0.014419791756943977,0.013967569959516484
2021-06-30,0.003785758615710944,0.013878660321003222
2021-07-01,0.009072709504887784,0.013806158757103778
2021-07-02,-0.0013918209488162534,0.013766752460784727
2021-07-05,0.00337430178262535,0.013736852335260782
2021-07-06,-0.011181479322835553,0.01398013813933342
2021-07-07,-0.008760958395458946,0.013846138105447993
2021-07-08,-0.006491354460512943,0.013775888538611945
2021-07-09,0.0033048367232440517,0.01377331018720943
2021-07-12,0.005961437109344566,0.013524025760101033
2021-07-13,-0.005335319379789606,0.013585026289136173
2021-07-14,-0.01404103875381202,0.013692949112778602
2021-07-15,-0.0026992492202232354,0.013695687068596392
2021-07-16,-0.00047233561630662216,0.013696598958343305
2021-07-19,-0.01907567727732807,0.01405735144438728
2021-07-20,0.009327701870668908,0.01407943326733048
2021-07-22,0.009200322452828922,0.013967834981475755
2021-07-23,-0.0007812854951949279,0.013928263521833933
2021-07-26,-0.007990655688942779,0.014000342213587308
2021-07-27,0.0006148214820067112,0.013947599533210245
2021-07-28,-0.010440654074037884,0.014081558420146465
2021-07-29,-0.024233884090965524,0.014709712175297826
2021-07-30,-0.002261759411542116,0.01422271425032449
2021-08-02,0.014123682565964179,0.014448943606002119
2021-08-03,0.01715461472389167,0.014650223757014028
2021-08-04,-0.013494540973363221,0.01142473665443129
2021-08-05,-0.00430940017731128,0.010537670317941478
2021-08-06,0.010369192908843361,0.010437842779949481
2021-08-09,-0.002686310101440295,0.009884905951949212
2021-08-10,-0.011332330943638988,0.009987436475019335
2021-08-11,0.0027881901368919455,0.00977127650426607
2021-08-12,-0.0013538848442342182,0.009712484182452956
2021-08-13,-0.0013985906635297115,0.009482499873550045
2021-08-16,-0.025361049060490894,0.010359470902353184
2021-08-17,0.00853983179120034,0.01051511858604064
2021-08-18,-0.006600846169095271,0.010426262469987306
2021-08-20,0.001577733020759404,0.010397522014132807
2021-08-23,-0.003655912510372038,0.010373600353311817
2021-08-24,-0.003331001099395234,0.010316468544665058
2021-08-25,-0.013578101280389233,0.010367030195649071
2021-08-26,-0.015443235920194594,0.010595254520669319
2021-08-27,0.00245580918102326,0.010467089233395146
2021-08-30,0.025638914620026508,0.011713215580409385
2021-08-31,0.007212562117211944,0.011835702158844828
2021-09-01,-0.008979652387356938,0.011469665792653483
2021-09-02,0.001178456750440787,0.011296948698655643
2021-09-03,0.01028137763659485,0.011335168853706019
2021-09-06,-0.002363283423035386,0.01133373775660578
2021-09-07,0.004408274438164068,0.011329895236475929
2021-09-08,-0.014042840421872564,0.011550228005420533
2021-09-09,0.0030919664985182716,0.011472045830633047
2021-09-13,0.010449168785417441,0.010833989419881512
2021-09-14,0.0030141718350844586,0.010844938791204746
2021-09-15,0.002108169137346967,0.01051501111972681
2021-09-16,0.0031719845783957958,0.009998615877764861
2021-09-17,0.01197545283360762,0.009987260119884597
2021-09-20,-0.009173162037117951,0.010095066567453227
2021-09-21,-0.025264644066926065,0.010855847152516586
2021-09-22,0.007936523318604765,0.010990116099057333
2021-09-23,0.0022956562845976875,0.0108375258528842
2021-09-24,0.015298638536365032,0.0112124698289293
2021-09-27,0.06288073046701677,0.0160848248497397
2021-09-28,0.002751678259593559,0.01607411420515622
2021-09-29,-0.005375540050678449,0.015298668944609038
2021-09-30,-0.006249184982583402,0.01533939853125251
2021-10-01,-0.024241860280613127,0.01600885578560591
2021-10-04,0.0011161835357395952,0.01600903438123194
2021-10-05,0.012191327579534091,0.016093623511414246
2021-10-06,-0.008161805974272702,0.016173261470026512
2021-10-07,0.03992561707846391,0.01731861299836799
2021-10-08,-0.00837657888743114,0.017096321370311775
2021-10-11,0.03579822165501478,0.018055711683383824
2021-10-12,-0.0009092935936652351,0.017656290439090595
2021-10-13,-0.02789473003797221,0.018584108274602506
2021-10-14,0.0019694124676487706,0.0184485335211767
2021-10-18,0.021130674449557137,0.01872598660491351
2021-10-19,-0.00017633910736974392,0.01870218098829389
2021-10-20,-0.008513526253316086,0.018803721439840774
2021-10-21,-0.0020440046762850252,0.01882912183217887
2021-10-22,-0.02220444054479024,0.019143523096965015
2021-10-25,-0.020219432230012043,0.019605136571272684
2021-10-26,0.0050488136404388045,0.019551250150347702
2021-10-27,0.00803896896634537,0.019581794105669157
2021-10-28,0.0018267031549793757,0.019581887778288096
2021-10-29,0.015176660314077604,0.01972558602209405
2021-11-01,0.017638553267656395,0.019845609620071068
2021-11-02,0.022873359130266085,0.020043704093128296
2021-11-03,-0.007407013782092995,0.019405517211239065
2021-11-04,0.0016988217004724542,0.019399780308960782
2021-11-08,-0.008139053656647702,0.01952814941727151
2021-11-09,-0.0140283930531993,0.019668732159578605
2021-11-10,-0.008734742423270115,0.016168777813423785
2021-11-11,-0.00777813534365576,0.016232012683781168
2021-11-12,0.0035357638216509694,0.016209259775857607
2021-11-15,0.0031034663903189643,0.016166258007421202
2021-11-16,0.07039935584593794,0.01992103694733761
2021-11-17,0.027493094963594797,0.02037110872261658
2021-11-18,-0.019229582438999117,0.020780306254859274
2021-11-22,-0.0316329129421165,0.021666338857405057
2021-11-23,-0.0013232184611206984,0.02051699559720903
2021-11-24,-0.023778035889430206,0.02096233800515034
2021-11-25,-0.012721668110287212,0.020041013586975243
2021-11-26,-0.054547878955668865,0.022334670143476253
2021-11-29,-0.0029330830669387574,0.02180890657116751
2021-11-30,-0.011493038613903413,0.02187312764677816
2021-12-01,0.02865383783675621,0.02218790385590509
2021-12-02,0.0070832376473060525,0.022244765458515704
2021-12-03,-0.015997648287001263,0.022368083520549222
2021-12-06,-0.02327575853033552,0.022711886759107767
2021-12-07,0.02020518567657867,0.02275837063316274
2021-12-08,0.03396697233562545,0.02332489072633942
2021-12-09,-0.0017702208654832,0.02331518880806162
2021-12-10,0.0005252734698283168,0.023272433829085712
2021-12-13,0.012147136111976722,0.023371648226565095
2021-12-14,-0.003098033911196462,0.023217808479200647
2021-12-15,0.009932983491370957,0.023058573233780386
2021-12-16,-0.015600844523312694,0.022798977440354085
2021-12-17,-0.020912855665946327,0.023051758906143475
2021-12-20,-0.0013714444330575884,0.023041852368370495
2021-12-21,0.003910457648675131,0.02303696298719279
2021-12-22,0.014736715803333389,0.023102192292304896
2021-12-23,-0.004942283946967015,0.02306696611081029
2021-12-24,-0.009527967961771662,0.0230880577272586
2021-12-27,-0.0037791242666133473,0.023081330563830826
2021-12-28,0.0010900576345856323,0.023072336247576347
2021-12-29,0.007182088977598121,0.018830295959755446
2021-12-30,-0.009267179969810494,0.017950847111083554
2021-12-31,0.019608070494253383,0.01823221038385126
2022-01-03,0.013036717205221801,0.017624071039074908
2022-01-04,0.014016264526792244,0.017849710947785983
2022-01-05,0.018857510466481604,0.017667014047144408
2022-01-06,0.013635863771923976,0.017644399232528543
2022-01-07,0.003027666485593249,0.01413946556143275
2022-01-10,0.027397617425756478,0.014752820451663581
2022-01-11,0.0022434716189311575,0.014457049037329101
2022-01-12,0.00329771623207701,0.013732841646997696
2022-01-13,-0.011534087264207722,0.014001064668474414
2022-01-14,0.000884827799171248,0.013531846905032932
2022-01-17,0.022178797823475788,0.012924370499724686
2022-01-18,-0.04331165554766287,0.015374802594611617
2022-01-19,0.012623536583672296,0.014363461008231649
2022-01-20,0.0025728237029564592,0.014340730856277526
2022-01-21,0.018890035074582763,0.014635748399287565
2022-01-24,-0.01690736806167054,0.014984812351752865
2022-01-25,0.0661067774204737,0.018932651975824784
2022-01-27,0.024980060787700705,0.019274959281130842
2022-01-28,-0.031001968405417357,0.020035523461018348
2022-01-31,0.00540560111764914,0.019447885771021727
2022-02-01,-0.004418018599544253,0.019492733803492444
2022-02-02,-0.005171437838385498,0.019586422972210794
2022-02-03,0.009164825755699242,0.019517832836999153
2022-02-04,-0.005027977402937284,0.019519325810962287
2022-02-07,-0.004559742939270865,0.019413702290288073
2022-02-08,0.010262451260122983,0.019362929149175756
2022-02-09,0.039893921165322366,0.020329517667587692
2022-02-10,-0.01622128947983846,0.02075893720128271
2022-02-11,-0.007786710929426241,0.020723066253705555
2022-02-14,-0.04336042965157815,0.02242383663293139
2022-02-15,0.03017440778005676,0.022876440252308724
2022-02-16,-0.004620585897067309,0.022863382900479706
2022-02-17,-0.0035596753491702487,0.02272434051718077
2022-02-18,0.0019447799495701495,0.02263885049294202
2022-02-21,0.005075193458379096,0.022642691477860875
2022-02-22,0.0011720295166674447,0.02216362310930112
2022-02-23,0.008780927089002159,0.02219841738309907
2022-02-24,-0.05781959513665685,0.024751638006591928
2022-02-25,0.01762055880448158,0.024848804829206674
2022-02-28,-0.005032816847725496,0.024874310624604823
2022-03-02,-0.06201635523576979,0.027049427498495534
2022-03-03,-0.0283800944450289,0.026389956532510268
2022-03-04,-0.04693353418112476,0.027516756655651436
2022-03-07,-0.06826824521645848,0.029924451736908834
2022-03-08,0.005487866241537402,0.02964309185880467
2022-03-09,0.03188991277378061,0.03036348506729353
2022-03-10,0.02598002133953745,0.027930379534911818
2022-03-11,-0.01526477451064484,0.02735776031731699
2022-03-14,0.029712528647970703,0.027780222229663944
2022-03-15,0.014026217144592287,0.027937801628381352
2022-03-16,0.00881539396957488,0.028050059840998412
2022-03-17,0.027302936491679287,0.028642310234975172
2022-03-21,0.0016299443049888848,0.02856138958029871
2022-03-22,0.007898100294330681,0.02863706727773499
2022-03-23,-0.015806697590393846,0.028728883123331838
2022-03-24,-0.011564465175647009,0.028642484439981932
2022-03-25,-0.01890204476349448,0.027502568387911555
2022-03-28,0.008312723467851432,0.02756108593704968
2022-03-29,-0.005121849313697953,0.027557588413693074
2022-03-30,0.021207505952436433,0.027003289095922797
2022-03-31,-0.0049209368661295655,0.02625708303395546
2022-04-01,0.018183616461549285,0.02657796210943896
2022-04-04,0.009660990503088588,0.026688345356301164
2022-04-05,-0.0016670022755453603,0.026672582677430577
2022-04-06,-0.0022764840834701427,0.026626732700309814
2022-04-07,-0.013481162117439716,0.026671616553500144
2022-04-08,-0.010863063691197692,0.026587218524483754
2022-04-11,0.0009851849504687322,0.02463057008897902
2022-04-12,0.0069745112237652885,0.024402953288423238
2022-04-13,-0.019731641569931402,0.024590333216452043
2022-04-18,0.013827174459175865,0.02215225546181056
2022-04-19,-0.01844323433454783,0.021800908352384556
2022-04-20,0.03067427413945962,0.02070395737915259
2022-04-21,0.027340131319789393,0.016457483875868515
2022-04-22,0.0032057452683898367,0.016460722394810376
2022-04-25,0.0009926857776904132,0.01566680891374073
